"No","회계연도","지역명","자치단체코드","자치단체명","행사축제명","사업내용","총비용","사업수익","순원가","개최시작일자","개최종료일자"
"301","2023","충북","4372000","충북보은군","속리산신화여행축제","전통의식 및 공연, 체험행사 등 행사추진","407208100","0","407208100","20230609","20230611"
"302","2023","충북","4372000","충북보은군","보은 회인 문화재 야행","문화재 야간 개방, 야간 경관 조명, 무형문화재 시연 및 체험","395000000","0","395000000","20230915","20230917"
"303","2023","충북","4373000","충북옥천군","지용제","문학상 시상, 공연, 체험행사","450290000","25000000","425290000","20230510","20231130"
"304","2023","충북","4373000","충북옥천군","옥천묘목축제","4년만에 대면축제 개최
옥천묘목 및 축제 홍보, 옥천묘목 브랜드이미지 제고
묘목 2만주 나누어주기, 명품묘목을 찾아라, 묘목경매, 스탬프투어, 튤림 심어가기, 각종 공연 및 프로그램 ","443550000","0","443550000","20230331","20230402"
"305","2023","충북","4373000","충북옥천군","전국규모 체육대회 개최지원","○ 2023 옥천향수배 동계 스토브리그 전국 중고배구대회(1.13~1.19/130,000천원), ○ 2023 옥천 한국 실업소프트테니스 춘계 연맹전(4.12~4.18/40,000천원), ○ 제16회 국민체육진흥공단 이사장배 전국 초등학교 소프트테니스대회(4.19~4.24/60,000천원), ○ 제59회 국무총리기 전국소프트테니스대회 및 2023 전국소프트테니스 종별선수권대회(7.2~7.9/ 60,000천원),○ 제50회 교육감기태권도대회 및 제53회 전국소년체전 1차 선발대회(11.4~11.5/29,385천원)","319385300","0","319385300","20230113","20231105"
"306","2023","충북","4374000","충북영동군","영동난계국악축제","공연행사 : 난계국악단 공연, 전국시립 국악단 및 무용단 공연, 종묘제례악, 왕가의 산책 퍼포먼스, 해외공연단공연(CIOFF), 조건시대 저잣거리 구현,  
체험행사 : 국악기 제작 및 연주체험, 미니어처 국악기 제작체험, 팔부공방 체험 등","1099199780","0","1099199780","20231012","20231015"
"307","2023","충북","4374000","충북영동군","영동포도축제","○ 체험분야 : 포도따기, 포도밟기, 포도키즈존 등 다양한 가족형 체험존 구성
○ 판매분야 : 포도 등 과일판매장, 와인판매장, 기타 농특산물 판매장
○ 공연분야 : 개막식, 개막축하공연, 폐막식, 상설공연, 불꽃놀이, 어린이 뮤지컬 등
○ 전시 및 먹거리 분야 : 우수과일종합전시관, 우수축제 사진전시관, 야생화 전시관, 먹거리존 등 운영
○ 기타분야 : 국악체험촌 국악공연, 농촌체험마을 등
○ 연계행사 : 추풍령가요제, 현대백화점(충청점) 특별판매행사 등","945994000","0","945994000","20230824","20230827"
"308","2023","충북","4374000","충북영동군","대한민국와인축제","○ 특별공연, 와인과 어울리는 발라드 축하공연, 영동와인홍보관, 와인시음, 전시, 와인포토존
○ 영동와인품평회, 와인이벤트, 와인 문화공연, 와인족욕, 마리아주만들기, 와인에코백만들기, 와인향초만들기 등","454755000","0","454755000","20231005","20231008"
"309","2023","충북","4374000","충북영동군","영동 곶감 축제","영동곶감판매장, 겨울철 공연, 어린이뮤지컬,  군밤 및 가래떡 굽기, 곶감 관련 먹거리(곶감라떼 등), 영동군 눈썰매장, 어린이키즈랜드     ","446633510","0","446633510","20230106","20230108"
"310","2023","충북","4374000","충북영동군","제62회 충북도민체육대회 개최 지원(보조)","제62회 충북도민체육대회 개최 지원","459646790","0","459646790","20230511","20230514"
"311","2023","충북","4375000","충북진천군","생거진천 문화축제","지역민의 화합을 위한 각종 행사및 예술공연 / 지역의 문화 향상을 위한 문화경연 대회 / 부대행사 등","616600080","0","616600080","20231006","20231008"
"312","2023","충북","4376000","충북괴산군","괴산고추축제","농특산물 판매, 고추관련 체험프로그램 등","1140000000","0","1140000000","20230831","20230903"
"313","2023","충북","4376000","충북괴산군","괴산김장축제","김장체험 관련 온-오프라인 행사, 농특산물 판매 등","499235590","0","499235590","20231103","20231105"
"314","2023","충북","4377000","충북음성군","설성문화제","전통문화 및 예술의 계승발전, 음성지역만의 독특한 문화축제 형성 및 군민화합, 축제를 통한 지역경제 활성화 기대","418426270","0","418426270","20230927","20231231"
"315","2023","충북","4377000","충북음성군","음성명작페스티벌","음성군의 친환경 농축산물과 가공품을 활용한 전시· 체험· 판매행사와 예술, 공연 등 문화 마케팅을 접목한 외부지향 관광산업형 축제","696003120","0","696003120","20230921","20230924"
"316","2023","충북","4377000","충북음성군","문화관광축제 지원사업(품바축제)","- '품바'관련 콘텐츠 활용한 공연 및 체험 제공
- 전국품바길놀이퍼레이드, 글로벌품바래퍼경연대회, 품바왕선발대회 등","1014938760","0","1014938760","20230412","20230731"
"317","2023","충북","4378000","충북단양군","소백산철쭉제","제39회 소백산철쭉제 개최","580000000","0","580000000","20230531","20230604"
"318","2023","충북","4378000","충북단양군","온달문화축제","제25회 단양 온달문화축제 개최","615000000","0","615000000","20231006","20231009"
"319","2023","충북","4379000","충북증평군","증평인삼골축제","인맥파티, 홍삼포크삼겹살대잔치, 전국인삼골가요제, 증평군민 장기자랑대회, 전국산악자전거대회, 국제청소년페스티벌 등 다양한 공연·체험행사 등
","491163840","15000000","476163840","20231012","20231015"
